Time,FV,TY
1/27/2017 8:00,117.5078125,123.84375
1/27/2017 9:00,117.625,124.015625
1/27/2017 10:00,117.6796875,124.078125
1/27/2017 11:00,117.6796875,124.09375
1/27/2017 12:00,117.6484375,124.046875
1/27/2017 13:00,117.6640625,124.078125
1/27/2017 14:00,117.703125,124.140625
1/27/2017 15:00,117.7265625,124.171875
1/27/2017 16:00,117.6875,124.109375
1/27/2017 17:00,117.703125,124.140625
1/29/2017 19:00,117.7421875,124.203125
1/29/2017 20:00,117.7734375,124.25
1/29/2017 21:00,117.828125,124.34375
1/29/2017 22:00,117.8046875,124.3125
1/29/2017 23:00,117.765625,124.234375
1/30/2017 0:00,117.7734375,124.25
1/30/2017 1:00,117.7578125,124.234375
1/30/2017 2:00,117.7578125,124.21875
1/30/2017 3:00,117.7421875,124.203125
1/30/2017 4:00,117.6875,124.109375
1/30/2017 5:00,117.6953125,124.109375
1/30/2017 6:00,117.7109375,124.171875
1/30/2017 7:00,117.6796875,124.109375
1/30/2017 8:00,117.703125,124.125
1/30/2017 9:00,117.7578125,124.21875
1/30/2017 10:00,117.7578125,124.203125
1/30/2017 11:00,117.8203125,124.3125
1/30/2017 12:00,117.78125,124.25
1/30/2017 13:00,117.7421875,124.203125
1/30/2017 14:00,117.7421875,124.203125
1/30/2017 15:00,117.75,124.21875
1/30/2017 16:00,117.6875,124.125
1/30/2017 17:00,117.6953125,124.109375
1/30/2017 19:00,117.7265625,124.1875
1/30/2017 20:00,117.7109375,124.140625
1/30/2017 21:00,117.71875,124.15625
1/30/2017 22:00,117.7890625,124.28125
1/30/2017 23:00,117.8046875,124.3125
1/31/2017 0:00,117.8203125,124.34375
1/31/2017 1:00,117.8671875,124.390625
1/31/2017 2:00,117.828125,124.34375
1/31/2017 3:00,117.8359375,124.328125
1/31/2017 4:00,117.6875,124.078125
1/31/2017 5:00,117.7265625,124.140625
1/31/2017 6:00,117.7109375,124.15625
1/31/2017 7:00,117.765625,124.21875
1/31/2017 8:00,117.796875,124.3125
1/31/2017 9:00,117.7265625,124.203125
1/31/2017 10:00,117.875,124.453125
1/31/2017 11:00,117.9296875,124.59375
1/31/2017 12:00,117.9296875,124.578125
1/31/2017 13:00,117.8828125,124.5
1/31/2017 14:00,117.9296875,124.5625
1/31/2017 15:00,117.875,124.484375
1/31/2017 16:00,117.8671875,124.484375
1/31/2017 17:00,117.8515625,124.4375
1/31/2017 19:00,117.8203125,124.40625
1/31/2017 20:00,117.796875,124.34375
1/31/2017 21:00,117.78125,124.3125
1/31/2017 22:00,117.7890625,124.34375
1/31/2017 23:00,117.7734375,124.296875
2/1/2017 0:00,117.7578125,124.265625
2/1/2017 1:00,117.734375,124.234375
2/1/2017 2:00,117.7265625,124.21875
2/1/2017 3:00,117.734375,124.234375
2/1/2017 4:00,117.7734375,124.296875
2/1/2017 5:00,117.78125,124.328125
2/1/2017 6:00,117.7734375,124.296875
2/1/2017 7:00,117.7890625,124.34375
2/1/2017 8:00,117.7734375,124.3125
2/1/2017 9:00,117.6171875,124.15625
2/1/2017 10:00,117.6171875,124.140625
2/1/2017 11:00,117.6015625,124.09375
2/1/2017 12:00,117.609375,124.09375
2/1/2017 13:00,117.5625,124.046875
2/1/2017 14:00,117.5859375,124.09375
2/1/2017 15:00,117.796875,124.328125
2/1/2017 16:00,117.75,124.265625
2/1/2017 17:00,117.765625,124.328125
2/1/2017 19:00,117.7578125,124.28125
2/1/2017 20:00,117.7890625,124.34375
2/1/2017 21:00,117.7734375,124.3125
2/1/2017 22:00,117.78125,124.328125
2/1/2017 23:00,117.8515625,124.46875
2/2/2017 0:00,117.8515625,124.453125
2/2/2017 1:00,117.875,124.46875
2/2/2017 2:00,117.828125,124.40625
2/2/2017 3:00,117.7890625,124.328125
2/2/2017 4:00,117.859375,124.453125
2/2/2017 5:00,117.8671875,124.453125
2/2/2017 6:00,117.84375,124.453125
2/2/2017 7:00,117.828125,124.421875
2/2/2017 8:00,117.828125,124.40625
2/2/2017 9:00,117.9453125,124.625
2/2/2017 10:00,117.953125,124.625
2/2/2017 11:00,117.9296875,124.578125
2/2/2017 12:00,117.8671875,124.46875
2/2/2017 13:00,117.828125,124.390625
2/2/2017 14:00,117.8046875,124.34375
2/2/2017 15:00,117.828125,124.375
2/2/2017 16:00,117.78125,124.296875
2/2/2017 17:00,117.796875,124.328125
2/2/2017 19:00,117.796875,124.328125
2/2/2017 20:00,117.765625,124.296875
2/2/2017 21:00,117.765625,124.296875
2/2/2017 22:00,117.7578125,124.28125
2/2/2017 23:00,117.7421875,124.265625
2/3/2017 0:00,117.75,124.265625
2/3/2017 1:00,117.75,124.25
2/3/2017 2:00,117.71875,124.1875
2/3/2017 3:00,117.703125,124.203125
2/3/2017 4:00,117.7421875,124.234375
2/3/2017 5:00,117.7578125,124.25
2/3/2017 6:00,117.7578125,124.265625
2/3/2017 7:00,117.7421875,124.25
2/3/2017 8:00,117.734375,124.265625
2/3/2017 9:00,117.984375,124.625
2/3/2017 10:00,117.9609375,124.59375
2/3/2017 11:00,118.0546875,124.765625
2/3/2017 12:00,118.0625,124.75
2/3/2017 13:00,118,124.640625
2/3/2017 14:00,117.84375,124.375
2/3/2017 15:00,117.765625,124.265625
2/3/2017 16:00,117.8359375,124.375
2/3/2017 17:00,117.8671875,124.46875
2/5/2017 19:00,117.859375,124.4375
2/5/2017 20:00,117.953125,124.578125
2/5/2017 21:00,117.9140625,124.515625
2/5/2017 22:00,117.9375,124.578125
2/5/2017 23:00,117.9375,124.5625
2/6/2017 0:00,117.8984375,124.484375
2/6/2017 1:00,117.921875,124.546875
2/6/2017 2:00,117.9296875,124.5625
2/6/2017 3:00,117.9296875,124.53125
2/6/2017 4:00,117.96875,124.625
2/6/2017 5:00,117.96875,124.609375
2/6/2017 6:00,117.984375,124.625
2/6/2017 7:00,117.984375,124.640625
2/6/2017 8:00,118.046875,124.765625
2/6/2017 9:00,118.109375,124.859375
2/6/2017 10:00,118.0390625,124.734375
2/6/2017 11:00,118.0546875,124.75
2/6/2017 12:00,118.09375,124.8125
2/6/2017 13:00,118.1640625,124.9375
2/6/2017 14:00,118.1875,124.96875
2/6/2017 15:00,118.1484375,124.9375
2/6/2017 16:00,118.140625,124.90625
2/6/2017 17:00,118.1875,124.984375
2/6/2017 19:00,118.1953125,125
2/6/2017 20:00,118.265625,125.125
2/6/2017 21:00,118.2578125,125.125
2/6/2017 22:00,118.2578125,125.140625
2/6/2017 23:00,118.25,125.109375
2/7/2017 0:00,118.2578125,125.125
2/7/2017 1:00,118.265625,125.140625
2/7/2017 2:00,118.2578125,125.125
2/7/2017 3:00,118.1953125,125.015625
2/7/2017 4:00,118.203125,125.0625
2/7/2017 5:00,118.125,124.9375
2/7/2017 6:00,118.1328125,124.953125
2/7/2017 7:00,118.09375,124.84375
2/7/2017 8:00,118.1328125,124.921875
2/7/2017 9:00,118.1015625,124.859375
2/7/2017 10:00,118.09375,124.859375
2/7/2017 11:00,118.171875,125.015625
2/7/2017 12:00,118.21875,125.09375
2/7/2017 13:00,118.25,125.1875
2/7/2017 14:00,118.234375,125.15625
2/7/2017 15:00,118.1953125,125.125
2/7/2017 16:00,118.1796875,125.0625
2/7/2017 17:00,118.171875,125.03125
